gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,Yes,No,1,No,Yes,DSL,No,No internet service,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),29.85,2505,No
Male,0,No,No,34,Yes,No,DSL,No internet service,No,No internet service,No,No,No,One year,No,Credit card (automatic),56.95,1466,No
Male,0,No,No,2,Yes,No,DSL,No internet service,No internet service,No,No,No,No,Month-to-month,Yes,Credit card (automatic),53.85,157,Yes
Male,0,No,No,45,No,Yes,DSL,No internet service,No,No internet service,No internet service,No,No,One year,No,Electronic check,42.3,1400,No
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.7,925,Yes
Female,0,No,No,8,Yes,No phone service,Fiber optic,No,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),99.65,6104,Yes
Male,0,No,Yes,22,Yes,No phone service,Fiber optic,No,No internet service,No,No,No internet service,No,Month-to-month,Yes,Mailed check,89.1,1550,No
Female,0,No,No,10,No,Yes,DSL,No internet service,No,No,No,No,No,Month-to-month,No,Credit card (automatic),29.75,2609,No
Female,0,Yes,No,28,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),104.8,2646,Yes
Male,0,No,Yes,62,Yes,No,DSL,No internet service,No internet service,No,No,No,No,One year,No,Electronic check,56.15,3022,No
Male,0,Yes,Yes,13,Yes,No,DSL,No internet service,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),49.95,4823,No
Male,0,No,No,16,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,18.95,2836,No
Male,0,Yes,No,58,Yes,No phone service,Fiber optic,No,No,No internet service,No,No internet service,No internet service,One year,No,Mailed check,100.35,4693,No
Male,0,No,No,49,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,103.7,4265,Yes
Male,0,No,No,25,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),105.5,2337,No
Female,0,Yes,Yes,69,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,113.25,5959,No
Female,0,No,No,52,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),20.65,46,No
Male,0,No,Yes,71,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No,No internet service,No internet service,Two year,No,Electronic check,106.7,5704,No
Female,0,Yes,Yes,10,Yes,No,DSL,No,No,No internet service,No internet service,No,No,Month-to-month,No,Mailed check,55.2,4416,Yes
Female,0,No,No,21,Yes,No,Fiber optic,No,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),90.05,1433,No
Male,1,No,No,1,No,Yes,DSL,No,No,No internet service,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),39.65,3340,Yes
Male,0,Yes,No,12,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,19.8,1651,No
Male,0,No,No,1,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),20.15,1609,Yes
Female,0,Yes,No,58,Yes,No phone service,DSL,No,No internet service,No,No internet service,No,No,Two year,Yes,Mailed check,59.9,3041,No
Male,0,Yes,Yes,49,Yes,No,DSL,No internet service,No internet service,No,No internet service,No,No,Month-to-month,No,Mailed check,59.6,2567,No
Female,0,No,No,30,Yes,No,DSL,No internet service,No internet service,No,No,No,No,Month-to-month,Yes,Electronic check,55.3,959,No
Male,0,Yes,Yes,47,Yes,No phone service,Fiber optic,No,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),99.35,4019,Yes
Male,0,Yes,Yes,1,No,Yes,DSL,No,No internet service,No,No,No,No,Month-to-month,No,Bank transfer (automatic),30.2,2592,Yes
Male,0,Yes,No,72,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,90.25,5135,No
Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),64.7,184,Yes
Female,1,Yes,No,71,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,No,No,Two year,Yes,Mailed check,96.35,5354,No
Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,95.5,1360,No
Female,0,Yes,Yes,27,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No,No,One year,No,Credit card (automatic),66.15,1449,No
Male,0,No,No,1,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,20.2,1610,No
Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.25,3815,No
Female,0,Yes,Yes,72,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,No,Two year,No,Electronic check,99.9,5644,No
Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.7,2742,Yes
Female,0,No,No,46,Yes,No,Fiber optic,No,No,No internet service,No,No,No,Month-to-month,Yes,Mailed check,74.8,3073,No
Male,0,No,No,34,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),106.35,3074,Yes
Female,0,No,No,11,Yes,No phone service,Fiber optic,No,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,97.85,202,Yes
Male,0,Yes,Yes,10,Yes,No,DSL,No,No internet service,No,No,No,No,One year,No,Credit card (automatic),49.55,4024,No
Female,0,Yes,Yes,70,Yes,No phone service,DSL,No internet service,No internet service,No,No,No internet service,No,Two year,Yes,Mailed check,69.2,4118,No
Female,0,Yes,Yes,17,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),20.75,3572,No
Female,0,No,No,63,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No,Two year,Yes,Mailed check,79.85,4105,No
Female,0,Yes,No,13,Yes,No phone service,DSL,No internet service,No internet service,No,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),76.2,6503,No
Female,0,No,No,49,Yes,No phone service,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),84.5,3348,No
Male,0,No,No,2,Yes,No,DSL,No,No internet service,No,No,No,No,Month-to-month,No,Credit card (automatic),49.25,6481,No
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),80.65,809,Yes
Male,0,No,No,52,Yes,No phone service,DSL,No internet service,No,No,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,79.75,3599,No
Female,0,Yes,Yes,69,Yes,No phone service,DSL,No internet service,No,No internet service,No internet service,No,No,Two year,Yes,Mailed check,64.15,3625,No
Female,1,No,No,43,Yes,No phone service,Fiber optic,No,No internet service,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),90.25,3285,No
Female,0,No,No,15,Yes,No,Fiber optic,No internet service,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,99.1,789,Yes
Female,1,Yes,No,25,Yes,No phone service,DSL,No internet service,No,No,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,69.5,1275,No
Female,1,Yes,No,8,Yes,No phone service,Fiber optic,No,No internet service,No,No,No,No,Month-to-month,Yes,Mailed check,80.65,5113,Yes
Female,1,Yes,Yes,60,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No,No internet service,One year,Yes,Mailed check,74.85,3782,No
Male,1,No,No,18,Yes,No phone service,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),95.45,1274,Yes
Female,0,Yes,Yes,63,Yes,No phone service,Fiber optic,No internet service,No,No,No,No internet service,No internet service,One year,Yes,Mailed check,99.65,5104,No
Male,1,Yes,Yes,66,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),108.45,5555,No
Female,0,Yes,Yes,34,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,24.95,6314,No
Female,0,No,No,72,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,107.5,5937,No
Female,0,Yes,No,47,Yes,No phone service,Fiber optic,No,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),100.5,3985,No
Male,0,No,No,60,Yes,No phone service,Fiber optic,No,No internet service,No,No,No internet service,No,Month-to-month,Yes,Electronic check,89.9,4530,No
Male,0,Yes,No,72,No,Yes,DSL,No internet service,No internet service,No internet service,No,No,No,Two year,No,Electronic check,42.1,2558,No
Female,0,Yes,Yes,18,Yes,No,DSL,No,No,No internet service,No internet service,No,No,One year,Yes,Mailed check,54.4,6459,No
Female,0,No,No,9,Yes,No phone service,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),94.4,6234,Yes
Female,0,No,No,3,Yes,No,DSL,No,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),75.3,2086,No
Male,0,Yes,No,47,Yes,No phone service,Fiber optic,No,No internet service,No,No,No,No,One year,Yes,Bank transfer (automatic),78.9,3157,No
Female,0,No,No,31,Yes,No,DSL,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),79.2,2143,No
Female,0,Yes,Yes,50,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,20.15,6399,No
Male,0,No,No,10,Yes,No,Fiber optic,No internet service,No,No internet service,No,No,No,Month-to-month,Yes,Credit card (automatic),79.85,6290,No
Male,0,No,No,1,Yes,No,DSL,No,No,No,No internet service,No,No,Month-to-month,No,Credit card (automatic),49.05,4137,No
Female,0,Yes,Yes,52,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),20.4,181,No
Male,1,Yes,Yes,64,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,111.6,5563,No
